time,mat0_x1,mat0_x2,mat0_y1,mat0_y2,mat1_x1,mat1_x2,mat1_y1,mat1_y2,mat2_x1,mat2_x2,mat2_y1,mat2_y2,mat3_x1,mat3_x2,mat3_y1,mat3_y2,hopf0_x,hopf0_y,hopf1_x,hopf1_y
1.73,0.18945315530355553,0.18945315530355553,0.18945315530355553,0.18945315530355553,0.18945315530355553,0.18945315530355553,0.18945315530355553,0.18945315530355553,0.18945315530355553,0.18945315530355553,0.18945315530355553,0.18945315530355553,0.18945315530355553,0.18945315530355553,0.18945315530355553,0.18945315530355553,-0.72934290331938,-0.02066031691534484,-0.72934290331938,-0.02066031691534484
1.74,0.18927548246786394,0.18927548246786394,0.18927548246786394,0.18927548246786394,0.18927548246786394,0.18927548246786394,0.18927548246786394,0.18927548246786394,0.18927548246786394,0.18927548246786394,0.18927548246786394,0.18927548246786394,0.18927548246786394,0.18927548246786394,0.18927548246786394,0.18927548246786394,-0.73171504391601,-0.05741770409746793,-0.73171504391601,-0.05741770409746793
1.75,0.18910184825983686,0.18910184825983686,0.18910184825983686,0.18910184825983686,0.18910184825983686,0.18910184825983686,0.18910184825983686,0.18910184825983686,0.18910184825983686,0.18910184825983686,0.18910184825983686,0.18910184825983686,0.18910184825983686,0.18910184825983686,0.18910184825983686,0.18910184825983686,-0.7322042897549818,-0.09446257954682959,-0.7322042897549818,-0.09446257954682959
1.76,0.18893216541565702,0.18893216541565702,0.18893216541565702,0.18893216541565702,0.18893216541565702,0.18893216541565702,0.18893216541565702,0.18893216541565702,0.18893216541565702,0.18893216541565702,0.18893216541565702,0.18893216541565702,0.18893216541565702,0.18893216541565702,0.18893216541565702,0.18893216541565702,-0.7307872731213134,-0.13169694242871022,-0.7307872731213134,-0.13169694242871022
1.77,0.18876634833748396,0.18876634833748396,0.18876634833748396,0.18876634833748396,0.18876634833748396,0.18876634833748396,0.18876634833748396,0.18876634833748396,0.18876634833748396,0.18876634833748396,0.18876634833748396,0.18876634833748396,0.18876634833748396,0.18876634833748396,0.18876634833748396,0.18876634833748396,-0.7274458174260853,-0.16902111750920717,-0.7274458174260853,-0.16902111750920717
1.78,0.18860431307282577,0.18860431307282577,0.18860431307282577,0.18860431307282577,0.18860431307282577,0.18860431307282577,0.18860431307282577,0.18860431307282577,0.18860431307282577,0.18860431307282577,0.18860431307282577,0.18860431307282577,0.18860431307282577,0.18860431307282577,0.18860431307282577,0.18860431307282577,-0.7221670508682151,-0.20633403588817825,-0.7221670508682151,-0.20633403588817825
1.79,0.18844597729352244,0.18844597729352244,0.18844597729352244,0.18844597729352244,0.18844597729352244,0.18844597729352244,0.18844597729352244,0.18844597729352244,0.18844597729352244,0.18844597729352244,0.18844597729352244,0.18844597729352244,0.18844597729352244,0.18844597729352244,0.18844597729352244,0.18844597729352244,-0.7149435045208392,-0.24353352327428987,-0.7149435045208392,-0.24353352327428987
1.8,0.18829126027439025,0.18829126027439025,0.18829126027439025,0.18829126027439025,0.18829126027439025,0.18829126027439025,0.18829126027439025,0.18829126027439025,0.18829126027439025,0.18829126027439025,0.18829126027439025,0.18829126027439025,0.18829126027439025,0.18829126027439025,0.18829126027439025,0.18829126027439025,-0.7057731943440974,-0.28051659490954695,-0.7057731943440974,-0.28051659490954695
1.81,0.1881400828715744,0.1881400828715744,0.1881400828715744,0.1881400828715744,0.1881400828715744,0.1881400828715744,0.1881400828715744,0.1881400828715744,0.1881400828715744,0.1881400828715744,0.1881400828715744,0.1881400828715744,0.1881400828715744,0.1881400828715744,0.1881400828715744,0.1881400828715744,-0.6946596866794442,-0.3171797562174892,-0.6946596866794442,-0.3171797562174892
1.82,0.18799236750065387,0.18799236750065387,0.18799236750065387,0.18799236750065387,0.18799236750065387,0.18799236750065387,0.18799236750065387,0.18799236750065387,0.18799236750065387,0.18799236750065387,0.18799236750065387,0.18799236750065387,0.18799236750065387,0.18799236750065387,0.18799236750065387,0.18799236750065387,-0.6816121468361848,-0.35341930821940365,-0.6816121468361848,-0.35341930821940365
1.83,0.187848038114539,0.187848038114539,0.187848038114539,0.187848038114539,0.187848038114539,0.187848038114539,0.187848038114539,0.187848038114539,0.187848038114539,0.187848038114539,0.187848038114539,0.187848038114539,0.187848038114539,0.187848038114539,0.187848038114539,0.187848038114539,-0.6666453704385367,-0.38913165673658345,-0.6666453704385367,-0.38913165673658345
1.84,0.18770702018120147,0.18770702018120147,0.18770702018120147,0.18770702018120147,0.18770702018120147,0.18770702018120147,0.18770702018120147,0.18770702018120147,0.18770702018120147,0.18770702018120147,0.18770702018120147,0.18770702018120147,0.18770702018120147,0.18770702018120147,0.18770702018120147,0.18770702018120147,-0.6497797972609232,-0.4242136243739984,-0.6497797972609232,-0.4242136243739984
1.85,0.1875692406612716,0.1875692406612716,0.1875692406612716,0.1875692406612716,0.1875692406612716,0.1875692406612716,0.1875692406612716,0.1875692406612716,0.1875692406612716,0.1875692406612716,0.1875692406612716,0.1875692406612716,0.1875692406612716,0.1875692406612716,0.1875692406612716,0.1875692406612716,-0.631041507340142,-0.45856276426185927,-0.631041507340142,-0.45856276426185927
1.86,0.18743462798553748,0.18743462798553748,0.18743462798553748,0.18743462798553748,0.18743462798553748,0.18743462798553748,0.18743462798553748,0.18743462798553748,0.18743462798553748,0.18743462798553748,0.18743462798553748,0.18743462798553748,0.18743462798553748,0.18743462798553748,0.18743462798553748,0.18743462798553748,-0.6104621992152908,-0.49207767451656204,-0.6104621992152908,-0.49207767451656204
1.87,0.18730311203237734,0.18730311203237734,0.18730311203237734,0.18730311203237734,0.18730311203237734,0.18730311203237734,0.18730311203237734,0.18730311203237734,0.18730311203237734,0.18730311203237734,0.18730311203237734,0.18730311203237734,0.18730311203237734,0.18730311203237734,0.18730311203237734,0.18730311203237734,-0.5880791502095882,-0.5246583123714744,-0.5880791502095882,-0.5246583123714744
1.8800000000000001,0.18717462410515434,0.18717462410515434,0.18717462410515434,0.18717462410515434,0.18717462410515434,0.18717462410515434,0.18717462410515434,0.18717462410515434,0.18717462410515434,0.18717462410515434,0.18717462410515434,0.18717462410515434,0.18717462410515434,0.18717462410515434,0.18717462410515434,0.18717462410515434,-0.5639351587322474,-0.5562063069210483,-0.5639351587322474,-0.5562063069210483
1.8900000000000001,0.18704909690960134,0.18704909690960134,0.18704909690960134,0.18704909690960134,0.18704909690960134,0.18704909690960134,0.18704909690960134,0.18704909690960134,0.18704909690960134,0.18704909690960134,0.18704909690960134,0.18704909690960134,0.18704909690960134,0.18704909690960134,0.18704909690960134,0.18704909690960134,-0.5380784686430562,-0.5866252694188533,-0.5380784686430562,-0.5866252694188533
1.9000000000000001,0.18692646453122136,0.18692646453122136,0.18692646453122136,0.18692646453122136,0.18692646453122136,0.18692646453122136,0.18692646453122136,0.18692646453122136,0.18692646453122136,0.18692646453122136,0.18692646453122136,0.18692646453122136,0.18692646453122136,0.18692646453122136,0.18692646453122136,0.18692646453122136,-0.5105626757870261,-0.6158211000713598,-0.5105626757870261,-0.6158211000713598
1.9100000000000001,0.18680666241272742,0.18680666241272742,0.18680666241272742,0.18680666241272742,0.18680666241272742,0.18680666241272742,0.18680666241272742,0.18680666241272742,0.18680666241272742,0.18680666241272742,0.18680666241272742,0.18680666241272742,0.18680666241272742,0.18680666241272742,0.18680666241272742,0.18680666241272742,-0.48144661687110524,-0.6437022902746632,-0.48144661687110524,-0.6437022902746632
