time,matsuoka_y1,matsuoka_y2,hopf_x,hopf_y,joint_0,joint_1,hopf_radius
7.53,0.0,0.7726670079108607,1.0511076129507548,0.15036031493615898,0.21022152259015098,0.8027390708980925,1.061807627732413
7.54,0.0,0.7800512097290576,1.0421521063570303,0.2034092119765745,0.20843042127140607,0.8207330521243725,1.0618174609137514
7.55,0.0,0.7865732441181663,1.0305200206530991,0.25594069850554796,0.20610400413061983,0.8377613838192759,1.061827271319762
7.5600000000000005,0.0,0.7922157545283904,1.016240702314513,0.307819308344925,0.20324814046290263,0.8537796161973754,1.061837036286945
7.57,0.0,0.7969631854004994,0.999350401148688,0.3589112153588598,0.19987008022973762,0.8687454284722713,1.0618467331900672
7.58,0.0,0.8008018443188225,0.979892179747304,0.4090845900125927,0.19597843594946082,0.8826187623213411,1.0618563394902787
7.59,0.0,0.8037199590112194,0.9579158040500712,0.45820995098851114,0.19158316081001425,0.8953619492089216,1.061865832783873
7.6000000000000005,0.0,0.8057077290169111,0.9334776152862052,0.5061605108120965,0.18669552305724105,0.9069398311793304,1.0618751908515345
7.61,0.0,0.8067573718581204,0.9066403836226359,0.5528125144544764,0.1813280767245272,0.9173198747490157,1.0618843917079115
7.62,0.0,0.806863163567179,0.8774731439099208,0.5980455698966095,0.17549462878198419,0.926472277546501,1.0618934136513518
7.63,0.0,0.8060214734370692,0.8460510139777315,0.6417429696625897,0.16921020279554633,0.9343700673695872,1.061902235313641
7.640000000000001,0.0,0.8042307928802176,0.8124549959913023,0.6837920023561109,0.1624909991982605,0.9409891933514398,1.0619108357095743
7.65,0.0,0.8014917582977088,0.7767717614380695,0.7240842532646772,0.1553543522876139,0.9463086089506443,1.0619191942862067
7.66,0.0,0.7978071678788597,0.7390934203695751,0.7625158931305652,0.14781868407391505,0.9503103465049728,1.0619272909716093
7.67,0.0,0.7931819922692449,0.699517275577271,0.7989879542256991,0.13990345511545418,0.9529795831143848,1.0619351062229816
7.68,0.0,0.7876233790637113,0.6581455624318393,0.8334065929093016,0.13162911248636786,0.9543046976455716,1.0619426210739507
7.69,0.0,0.781140651099609,0.6150851751638016,0.8656833378922553,0.12301703503276032,0.95427731867806,1.0619498171809068
7.7,0.0,0.7737452985443147,0.5704473804082328,0.89573532348031,0.11408947608164657,0.9528923632403767,1.061956676868219
7.71,0.0,0.7654509647900682,0.5243475188781335,0.9234855071193805,0.1048695037756267,0.9501480662139443,1.0619631831721823
7.72,0.0,0.7562734261881038,0.47690469606920183,0.9488628706199144,0.09538093921384037,0.9460460003120866,1.0619693198835465
7.73,0.0,0.7462305656729669,0.42824146293322046,0.9718026044934184,0.0856482925866441,0.9405910865716506,1.061975071588489
7.74,0.0,0.7353423403466783,0.37848348748785365,0.9922462748923909,0.07569669749757074,0.9337915953251565,1.0619804237078923
7.75,0.0,0.7236307431109765,0.3277592183572113,1.010141972704843,0.06555184367144226,0.9256591376519452,1.061985362534796
7.76,0.0,0.7111197584541546,0.2761995412599613,1.02544444441596,0.055239908251992265,0.9162086473373466,1.0619898752698964
7.7700000000000005,0.0,0.6978353125169376,0.22393742947998185,1.038115204411954,0.044787485895996376,0.9054583533993285,1.061993950054978
7.78,0.0,0.6838052175793472,0.1711075893684845,1.0481226284644456,0.0342215178736969,0.8934297432722363,1.0619975760041602
7.79,0.0,0.6690591111275043,0.11784610193618586,1.0554420281974721,0.023569220387237175,0.8801475167669988,1.0620007432328602
7.8,0.0,0.6536283896757551,0.06429006159945835,1.0600557064031053,0.01285801231989167,0.8656395309563761,1.062003442884367
7.8100000000000005,0.0,0.6375461375353102,0.010577213145486562,1.061952993135369,0.0021154426290973124,0.849936736162384,1.0620056671539442
7.82,0.0,0.6208470507356966,-0.04315441202165043,1.0611302625753372,-0.008630882404330086,0.833073103250764,1.0620074093103768
7.83,0.0,0.6035673563196803,-0.09676685929926898,1.0575909307226663,-0.019353371859853797,0.8150855424642136,1.0620086637148871
7.84,0.0,0.5857447272458691,-0.15012261292526352,1.0513454340300754,-0.030024522585052706,0.7960138140518842,1.0620094258373585
7.8500000000000005,0.0,0.5674181931459004,-0.20308495560978992,1.0424111891571328,-0.04061699112195799,0.775900430977327,1.0620096922698108
7.86,0.0,0.5486280471949138,-0.25551832474985336,1.0308125340778909,-0.05110366494997068,0.754790554010492,1.0620094607370758
7.87,0.0,0.5294157493648637,-0.30728866423952766,1.0165806508331567,-0.06145773284790554,0.732731879531495,1.0620087301046437
7.88,0.0,0.5098238263401021,-0.35826377091418704,0.9997534702722749,-0.07165275418283741,0.7097745203945571,1.0620075003836411
7.890000000000001,0.0,0.489895768383537,-0.40831363469589793,0.9803755591810178,-0.08166272693917959,0.6859708802197406,1.0620057727329304
7.9,0.0,0.46967592344951203,-0.4573107715387717,0.9584979902413285,-0.09146215430775434,0.6613755214977778,1.0620035494583115
7.91,0.0,0.44920938884635014,-0.5051305483073723,0.9341781953150843,-0.10102610966147446,0.636045027909367,1.0620008340088318
7.92,0.0,0.42854190075723436,-0.5516514987579584,0.9074798025875959,-0.11033029975159168,0.6100378612747536,1.061997630970203
7.930000000000001,0.0,0.4077197219327652,-0.5967556298311566,0.8784724581471152,-0.11935112596623132,0.5834142135621883,1.061993946055351
7.94,0.0,0.3867895278721266,-0.640328717505343,0.8472316326140867,-0.1280657435010686,0.5562358543949439,1.0619897860921113
7.95,0.0,0.3657982918123192,-0.6822605915022962,0.8138384134681965,-0.13645211830045925,0.5285659745059585,1.0619851590081164
7.96,0.0,0.34479316884638583,-0.7224454081802997,0.7783792837523752,-0.14448908163605995,0.5004690255968609,1.0619800738129037
7.97,0.0,0.3238213794919781,-0.7607819109945585,0.7409458878608067,-0.1521563821989117,0.4720105570641394,1.061974540577302
7.98,0.0,0.3029300930310062,-0.7971736779502903,0.7016347851426585,-0.15943473559005805,0.4432570500595379,1.06196857041015
7.99,0.0,0.28216631093950784,-0.8315293555198996,0.660547192074724,-0.16630587110397993,0.41427574935445266,1.0619621754324124
8.0,0.0,0.2615767507242864,-0.8637628785420094,0.617788713774495,-0.17275257570840188,0.3851344934791854,1.0619553687487637
8.01,0.0,0.24120773047933994,-0.8937936756665615,0.5734690656404232,-0.1787587351333123,0.3559015436074246,1.0619481644167208
8.02,0.0,0.2211050544706633,-0.9215468599564923,0.5277017859183781,-0.1843093719912985,0.3266454116543389,1.0619405774134054
8.03,0.0,0.20131390005269348,-0.9469534043024348,0.48060394000265605,-0.18939068086048697,0.2974346880532247,1.061932623600032
